2026-08-03 15:11:06,618 | INFO | 판교_4반_최승우2.py:140 | 오류 데이터 JSON 저장 완료: /Users/chltmddn5843/Downloads/skala/4주차/invalid_sales_data.json
2026-08-03 15:11:06,619 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 100
2026-08-03 15:11:06,619 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:11:06,619 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 0
2026-08-03 15:11:06,619 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:11:06,619 | INFO | 판교_4반_최승우2.py:175 | 저장된 유효 데이터 수: 100, 저장된 오류 데이터 수: 0
2026-08-03 15:14:05,646 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 100
2026-08-03 15:14:05,647 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:14:05,648 | INFO | 판교_4반_최승우2.py:152 | 검증 완료. 유효 데이터 수: 100, 오류 데이터 수: 0
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:134 | 유효 데이터 CSV 저장 완료: /Users/chltmddn5843/Downloads/skala/4주차/valid_sales_data.csv
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:140 | 오류 데이터 JSON 저장 완료: /Users/chltmddn5843/Downloads/skala/4주차/invalid_sales_data.json
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 100
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 0
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:14:05,649 | INFO | 판교_4반_최승우2.py:175 | 저장된 유효 데이터 수: 100, 저장된 오류 데이터 수: 0
2026-08-03 15:16:24,636 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 100
2026-08-03 15:16:24,636 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:16:24,636 | INFO | 판교_4반_최승우2.py:152 | 검증 완료. 유효 데이터 수: 100, 오류 데이터 수: 0
2026-08-03 15:16:24,636 | INFO | 판교_4반_최승우2.py:134 | 유효 데이터 CSV 저장 완료: /Users/chltmddn5843/Downloads/skala/4주차/valid_sales_data.csv
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:140 | 오류 데이터 JSON 저장 완료: /Users/chltmddn5843/Downloads/skala/4주차/invalid_sales_data.json
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 100
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:71 | 파일 로드 완료, 거래 데이터 수: 0
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:82 | 모든 종료
2026-08-03 15:16:24,637 | INFO | 판교_4반_최승우2.py:175 | 저장된 유효 데이터 수: 100, 저장된 오류 데이터 수: 0
